Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
972,1859,1271,89,35,9999,0,1326,0,4073,5400,4,4,825,525,2000,1,1,73,72,45,0,72,0,258,4,1440,1584,4464,1294,0,44,47,39,45,47,19,36,44,19,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100
1972,1859,1271,89,35,9999,0,1345,0,4073,5478,4,4,710,525,1555,1,1,73,72,51,0,72,0,165,4,1440,1584,4693,1290,0,47,30,31,15,28,40,47,36,19,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100
2972,1859,1271,89,35,9999,0,1332,0,4073,5425,4,4,1382,525,1555,1,1,73,72,51,0,73,0,94,4,1440,1584,4312,1286,0,45,26,12,21,16,45,44,31,22,42,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100
3973,1859,1271,89,35,9999,0,1336,0,4073,5441,4,4,710,525,1555,1,1,73,72,51,0,73,0,82,4,1440,1584,4597,1290,0,50,30,17,25,26,40,38,50,11,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100
4973,1859,1271,89,35,9999,0,1331,0,4083,5434,4,4,710,525,1804,1,1,73,72,50,0,73,0,82,4,1440,1584,4598,1300,0,42,30,30,25,31,40,42,33,27,44,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
5973,1859,1271,89,35,9999,0,1367,0,4083,5581,4,4,710,525,2000,1,1,72,72,51,0,72,0,339,4,1440,1584,4196,1296,0,47,17,28,21,25,47,23,47,25,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6975,1859,1271,89,35,9999,0,1351,0,4083,5516,4,4,710,525,2000,1,1,73,72,50,0,72,0,126,4,1440,1584,4732,1293,0,44,39,27,27,21,44,39,42,15,44,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7973,1859,1271,89,35,9999,0,1328,0,4083,5422,4,4,710,525,2000,1,1,72,72,50,0,73,0,167,4,1440,1584,4459,1289,0,47,21,33,25,26,38,39,47,15,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8973,1859,1271,89,35,9999,0,1337,0,4083,5458,4,4,825,525,1555,1,1,73,72,50,0,73,0,71,4,1440,1584,4463,1293,0,44,17,30,16,23,42,27,44,15,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9973,1859,1271,89,35,9999,0,1375,0,4082,5612,4,4,1382,525,1804,1,1,73,72,50,0,73,0,27,4,1440,1584,4531,1305,0,52,33,45,39,31,27,40,52,25,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10973,1859,1271,89,35,9999,0,1326,0,4082,5412,4,4,825,525,2000,1,1,73,72,51,0,72,0,68,4,1440,1584,4329,1289,0,47,26,31,21,21,17,43,47,14,42,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11973,1859,1271,89,35,9999,0,1366,0,4082,5576,4,4,825,525,2000,1,1,73,72,50,0,73,0,44,4,1440,1584,4777,1292,0,44,16,31,31,16,42,36,44,5,45,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12973,1859,1271,89,35,9999,0,1335,0,4082,5449,4,4,1382,525,2000,1,1,73,72,51,0,73,0,98,4,1440,1584,4439,1283,0,38,21,25,31,31,38,36,23,15,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13973,1859,1271,89,35,9999,0,1339,0,4082,5465,4,4,1382,525,2000,1,1,73,72,51,0,73,0,58,4,1440,1584,4416,1289,0,36,11,19,25,19,36,30,36,27,42,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14974,1859,1271,89,35,9999,0,1304,0,4082,5322,4,4,710,525,2000,1,1,73,72,50,0,73,0,166,4,1440,1584,3600,1287,0,50,39,33,27,36,38,36,50,5,37,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15975,1859,1271,89,35,9999,0,1280,0,4082,5224,4,4,825,525,2000,1,1,72,72,50,0,73,0,49,4,1440,1584,3268,1279,0,47,25,16,11,22,28,43,47,15,34,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16974,1859,1271,89,35,9999,0,1281,0,4082,5229,4,4,710,525,2000,1,1,73,72,51,0,73,0,178,4,1440,1584,3343,1283,0,38,50,36,52,35,35,38,26,11,35,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17974,1859,1271,89,35,9999,0,1261,0,4082,5147,4,4,710,525,2000,1,1,72,72,51,0,73,0,194,4,1440,1584,3321,1271,0,38,17,30,16,31,26,22,38,15,34,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18974,1859,1271,89,35,9999,0,1279,0,4086,5225,4,4,1382,525,2000,1,1,73,72,50,0,73,0,359,4,1440,1584,3270,1263,0,39,22,30,16,15,39,30,35,26,35,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20001,1855,1272,89,35,9999,0,1345,0,4086,5495,4,4,1382,525,2000,1,1,73,72,50,0,71,0,237,4,1440,1584,4258,1286,0,59,31,31,35,42,35,39,59,31,41,0,0,51286,1394,0,1088,168,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20975,1855,1272,89,35,9999,0,1355,0,4086,5536,4,4,710,525,2000,1,1,72,72,51,0,73,0,94,4,1440,1584,4410,1284,0,52,30,33,28,27,30,42,52,15,43,0,0,51286,1394,0,1088,168,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21975,1855,1272,89,35,9999,0,1470,0,4086,6006,4,4,1382,525,1555,1,1,70,72,46,0,71,2,64,4,1440,1584,5195,1470,302,54,36,29,29,33,27,36,54,22,49,0,0,51286,1394,0,1088,168,1257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,100
22975,1855,1272,88,35,9999,0,1500,0,4067,6263,4,4,1382,525,1555,1,1,73,72,45,0,73,0,40,4,1440,1584,4973,1474,289,50,45,44,33,44,47,33,50,23,50,0,0,51286,1394,0,1088,168,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,100
23975,1855,1272,88,35,9999,0,1477,0,4067,6006,4,4,940,525,1555,1,1,73,72,45,0,73,1,40,4,1440,1584,5005,1468,289,59,27,38,33,31,26,35,59,19,51,0,0,51286,1394,0,1088,168,1257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,100
24975,1855,1272,88,35,9999,0,1473,0,4071,5996,4,4,1574,525,1804,1,1,72,72,46,0,73,0,78,4,1440,1584,4353,1452,279,47,29,29,35,38,26,29,47,31,46,0,0,51286,1394,0,1088,168,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,100
25976,1855,1272,88,35,9999,0,1478,0,4071,6016,4,4,1056,525,2000,1,1,73,72,44,0,73,0,268,4,1440,1584,4770,1471,281,57,31,29,31,38,22,43,57,14,50,0,0,51286,1394,0,1088,168,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,100
26975,1855,1272,88,35,9999,0,1408,0,4071,5731,4,4,940,525,2000,1,1,72,72,45,0,72,0,44,4,1440,1584,4410,1323,207,52,23,12,26,12,38,52,33,10,42,0,0,51286,1394,0,1088,168,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,100
27976,1855,1272,88,35,9999,0,1471,0,4071,5988,4,4,1382,525,2000,1,1,73,72,46,0,72,0,98,4,1440,1584,4776,1028,283,47,18,27,17,11,12,35,47,28,46,0,0,51286,1394,0,1088,168,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,100
28976,1855,1272,88,35,9999,0,1453,0,4071,5915,4,4,1286,525,2000,1,1,72,72,49,0,73,0,65,4,1440,1584,4737,1454,274,42,39,33,31,31,31,31,42,19,49,0,0,51286,1394,0,1088,168,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,100
