Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
993,2555,159,97,27,9999,0,1288,0,4192,5399,4,4,1478,525,768,0,1,1,72,0,0,16,48,0,2,0,0,65535,1063,0,76,75,80,77,84,70,76,76,42,15,0,0,8003,287,0,141,6,147,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
1993,2555,159,97,27,9999,0,1146,0,4192,4804,4,4,1478,525,1555,1,1,69,72,47,0,72,0,32,2,1440,1584,771,1018,0,58,38,47,36,36,27,58,50,26,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
2993,2555,159,97,27,9999,0,1145,0,4192,4799,4,4,1478,525,1017,1,1,72,72,50,0,72,0,28,2,1440,1584,861,1018,0,42,22,17,28,19,28,42,15,36,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,100
3993,2555,159,97,27,9999,0,1142,0,4192,4787,4,4,1478,525,1017,1,1,72,72,47,0,72,0,40,2,1440,1584,770,1017,0,43,27,12,31,35,43,28,43,22,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
4993,2555,159,97,27,9999,0,1150,0,4192,4820,4,4,1478,525,1353,1,1,72,72,46,0,72,0,8,2,1440,1584,804,1019,0,39,31,26,31,31,38,19,39,16,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
5993,2555,159,97,27,9999,0,1110,0,4192,4653,4,4,1478,525,1353,1,1,72,72,45,0,72,0,7,2,1440,1584,804,1018,0,39,27,35,31,39,39,31,39,6,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
6994,2555,159,97,27,9999,0,1208,0,4192,5063,4,4,1478,525,1353,1,1,72,72,45,0,72,0,7,2,1440,1584,804,1018,0,39,27,35,31,39,39,31,39,6,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,100
7994,2555,159,97,27,9999,0,1350,0,4169,5628,4,4,1478,525,1353,1,1,72,72,45,0,72,0,6,2,1440,1584,807,1017,0,84,39,18,31,31,84,47,72,30,7,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
8993,2555,159,97,27,9999,0,1350,0,4169,5628,4,3,1478,525,2000,1,1,28,72,45,0,22,53,6,2,1440,1584,71,643,0,89,47,35,36,35,73,78,89,44,14,0,0,8003,287,0,141,6,147,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
9993,2555,159,97,27,9999,0,1291,0,4167,5379,4,3,1478,490,2000,1,1,71,72,38,0,72,0,2,2,1440,1584,1099,645,0,88,38,42,36,44,75,60,88,31,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,100
10994,2555,159,97,27,9999,0,1474,0,4167,6142,4,3,1478,490,2000,1,1,72,72,48,0,72,0,2,2,1440,1584,1108,646,0,73,33,26,30,39,73,19,60,72,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
11994,2555,159,97,27,9999,0,1290,0,4167,5375,4,3,1478,490,2000,1,1,72,72,46,0,72,0,2,2,1440,1584,1114,645,0,83,27,33,17,16,80,66,83,34,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12997,2555,159,97,27,9999,0,1260,0,4167,5250,4,3,1478,490,2000,1,1,72,72,45,0,72,0,5,2,1440,1584,1126,644,0,77,26,28,31,30,77,71,61,31,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13994,2555,159,97,27,9999,0,1253,0,4167,5221,4,3,1478,490,2000,1,1,72,72,45,0,72,0,2,2,1440,1584,1118,647,0,100,33,22,31,25,100,84,78,31,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14995,2555,159,97,27,9999,0,1500,0,4167,6800,4,3,1478,490,2000,1,1,72,72,45,0,72,0,7,2,1440,1584,1113,648,0,100,35,35,21,6,73,76,100,34,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15994,2555,159,97,27,9999,0,1342,0,4167,5592,4,3,1478,490,2000,1,1,72,72,46,0,72,0,10,2,1440,1584,1083,646,0,100,39,26,30,16,75,100,60,39,14,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16994,2555,159,97,27,9999,0,1420,0,4167,5917,4,3,1478,490,2000,1,1,72,72,44,0,72,0,5,2,1440,1584,8650,894,0,90,47,17,21,12,64,72,90,38,67,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17995,2555,159,97,27,9999,0,1500,0,4167,6750,4,3,1478,490,2000,1,1,72,72,45,0,72,0,2,2,1440,1584,7461,864,0,90,33,31,28,16,71,72,90,68,61,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18994,2555,159,97,27,9999,0,1407,0,4167,5862,4,3,1478,490,2000,1,1,72,72,45,0,72,0,121,2,1440,1584,8492,871,0,86,18,31,22,25,75,86,63,39,68,0,0,8003,287,0,141,6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20013,2090,1112,96,27,9999,0,1134,0,4160,4717,4,4,1478,490,2000,1,1,72,72,45,0,72,0,188,2,1440,1584,9382,848,0,83,50,31,39,35,55,78,83,50,70,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20995,2090,1112,96,27,9999,0,1174,0,4160,4883,4,3,1478,525,2000,1,1,72,72,45,0,69,0,10,2,1440,1584,8496,835,0,95,11,17,11,16,31,19,95,30,67,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21996,2090,1112,96,27,9999,0,1061,0,4160,4413,3,3,1382,490,1555,1,1,72,72,45,0,72,0,67,2,1440,1584,8161,824,0,66,21,21,5,11,50,30,66,10,66,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
22995,2090,1112,96,27,9999,0,1132,0,4160,4709,2,3,1171,490,2000,1,1,72,72,44,0,72,0,27,2,1440,1584,7992,835,0,59,25,28,0,11,38,55,59,19,66,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
23995,2090,1112,96,27,9999,0,1110,0,4160,4617,2,3,1171,490,1804,1,1,72,72,45,0,69,0,17,2,1440,1584,9001,824,0,68,31,25,6,21,47,68,33,21,74,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
24996,2090,1112,96,27,9999,0,1168,0,4160,4858,2,3,1171,490,1804,1,1,72,72,46,0,71,0,60,2,1440,1584,9592,832,0,85,16,16,28,25,26,85,40,19,77,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
25996,2090,1112,96,27,9999,0,1113,0,4160,4630,2,3,1171,490,2000,1,1,72,72,45,0,67,0,36,2,1440,1584,8786,826,0,69,25,21,25,27,30,69,52,5,72,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
26996,2090,1112,96,27,9999,0,1090,0,4160,4534,2,3,1171,490,2000,1,1,72,72,45,0,72,0,49,2,1440,1584,7874,830,0,66,17,6,33,19,31,66,47,0,63,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
27996,2090,1112,96,27,9999,0,1079,0,4160,4488,2,3,1171,490,1555,1,1,72,72,45,0,72,0,90,2,1440,1584,8712,820,0,80,17,19,15,11,26,38,80,14,70,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
28998,2090,1112,96,27,9999,0,1073,0,4160,4463,2,3,1171,490,1804,1,1,72,72,44,0,72,0,29,2,1440,1584,9070,826,0,77,16,16,15,19,27,33,77,5,72,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
29997,2090,1112,96,27,9999,0,1075,0,4190,4504,2,3,1171,490,2000,1,1,72,72,46,0,72,0,14,2,1440,1584,9188,826,0,84,30,23,28,38,31,33,84,10,72,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
31002,2090,1112,96,27,9999,0,1074,0,4190,4500,2,3,1171,490,2000,1,1,72,72,45,0,72,0,4,2,1440,1584,8219,820,0,85,23,21,15,25,30,85,26,10,67,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
31997,2090,1112,96,27,9999,0,1044,0,4190,4374,2,3,1171,490,1804,1,1,72,72,45,0,72,0,8,2,1440,1584,8235,820,0,73,21,27,15,11,35,73,39,14,67,0,0,8832,1240,0,1092,7,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
