Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
11994,2764,476,94,34,9999,0,1427,0,4212,6010,4,4,1478,525,1555,0,0,72,72,53,0,66,0,0,3,1440,1584,10484,937,0,30,27,36,23,22,25,22,30,23,75,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12994,2764,476,94,34,9999,0,1500,0,4212,6435,4,4,1478,525,1555,0,0,70,72,43,0,0,2,0,3,1440,1584,10086,937,0,31,28,33,31,31,31,15,27,19,77,0,0,11623,572,0,402,68,470,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13994,2764,476,94,34,9999,0,1500,0,4165,6793,4,4,1478,525,1555,0,0,72,72,42,0,0,1,0,3,1440,1584,10290,918,0,100,37,25,23,27,45,44,100,23,82,0,0,11623,572,0,402,68,470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14995,2764,476,94,34,9999,0,1336,0,4165,5564,4,4,1478,525,1555,0,0,67,72,42,0,0,6,0,3,1440,1584,10076,911,0,58,15,19,25,27,19,14,58,27,71,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15994,2764,476,94,34,9999,0,1500,0,4165,6776,4,4,1478,525,1555,0,0,73,72,42,0,0,0,0,3,1440,1584,10056,958,0,39,39,55,60,55,39,27,21,19,80,0,0,11623,572,0,402,68,470,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16995,2764,476,94,34,9999,0,1500,0,4165,6264,4,4,1478,525,1804,0,0,72,72,40,0,0,0,0,3,1440,1584,10879,904,0,35,19,34,31,23,26,35,26,14,51,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17995,2764,476,94,34,9999,0,1500,0,4165,6326,4,4,1478,525,2000,0,0,59,72,47,0,12,15,0,3,1440,1584,10476,982,0,36,25,23,31,30,36,30,26,19,85,0,0,11623,572,0,402,68,470,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18995,2764,476,94,34,9999,0,1500,0,4165,6530,4,4,1478,525,2000,0,0,72,72,43,0,0,0,0,3,1440,1584,11217,967,0,39,19,25,19,23,28,31,39,14,90,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20011,2627,714,94,34,9999,0,1500,0,4165,6476,4,4,1478,525,2000,0,0,72,72,44,0,0,0,0,3,1440,1584,11573,956,0,43,28,39,26,39,43,31,35,26,93,0,0,12968,845,0,610,85,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20995,2627,714,94,34,9999,0,1500,0,4165,6618,4,4,1478,525,2000,0,0,73,72,45,0,0,0,0,3,1440,1584,11688,957,0,43,21,31,25,31,38,43,30,19,92,0,0,12968,845,0,610,85,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21996,2627,714,94,34,9999,0,1500,0,4165,6505,4,4,1478,525,2000,0,0,72,72,43,0,0,0,0,3,1440,1584,10966,918,0,40,28,33,21,27,25,22,40,19,86,0,0,12968,845,0,610,85,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
22995,2627,714,94,34,9999,0,1500,0,4165,6289,4,4,1478,525,1555,0,0,72,72,40,0,0,0,0,3,1440,1584,10861,912,0,40,25,28,30,19,26,40,21,19,86,0,0,12968,845,0,610,85,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
23995,2627,714,94,35,9999,0,1463,0,4162,6089,4,4,1478,525,1804,0,0,71,72,41,0,0,2,0,3,1440,1584,10437,918,0,28,27,37,31,25,19,28,22,19,82,0,0,12968,845,0,610,85,695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
24995,2627,714,94,35,9999,0,1473,0,4162,6130,4,4,1478,525,1804,0,0,72,72,41,0,0,2,0,3,1440,1584,10270,896,0,30,33,31,34,31,16,30,30,19,81,0,0,12968,845,0,610,85,695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
25997,2627,714,94,35,9999,0,1015,0,4162,4224,4,4,1478,525,1804,0,0,72,72,40,0,0,2,0,3,1440,1584,10234,892,0,100,28,25,27,21,9,4,100,14,11,0,0,12968,845,0,610,85,695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
26995,2627,714,94,35,9999,0,1131,0,4162,4707,4,4,1478,525,2000,0,0,44,72,40,0,51,42,0,3,1440,1584,1920,869,0,43,43,36,39,36,43,33,34,19,15,0,0,12968,845,0,610,85,695,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
27997,2627,714,94,35,9999,0,1113,0,4162,4632,4,4,1478,525,2000,0,0,44,72,40,0,51,42,0,3,1440,1584,1920,869,0,43,43,36,39,36,43,33,34,19,15,0,0,12968,845,0,610,85,695,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
28996,2627,714,94,35,9999,0,1018,0,4162,4236,4,4,1478,525,1017,0,0,43,72,54,0,51,42,0,3,1440,1584,909,895,0,77,36,33,33,33,0,23,77,22,6,0,0,12968,845,0,610,85,695,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
29996,2627,714,94,35,9999,0,1163,0,4162,4840,4,4,1478,525,681,0,0,40,72,50,0,11,70,0,3,1440,1584,4436,853,0,50,43,39,39,33,14,50,11,15,8,0,0,12968,845,0,610,85,695,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
